dates,tension,temperature_stream,dH
2015-07-25 21:45:00,1.25093,16.416,-0.012502713942031101
2015-07-25 22:00:00,1.23552,16.394,-0.01137373901117909
2015-07-25 22:15:00,1.24502,16.372,-0.01219260652482957
2015-07-25 22:30:00,1.23838,16.35,-0.011749403502379274
2015-07-25 22:45:00,1.22606,16.326,-0.01086896202370382
2015-07-25 23:00:00,1.23037,16.299,-0.011299272153313587
2015-07-25 23:15:00,1.26131,16.275,-0.013801555048350617
2015-07-25 23:30:00,1.24136,16.247,-0.012338304755096965
2015-07-25 23:45:00,1.23732,16.222,-0.012108774677890123
2015-07-26 00:00:00,1.23198,16.197,-0.011777590840030834
2015-07-26 00:15:00,1.22965,16.17,-0.011688684838307916
2015-07-26 00:30:00,1.22805,16.142,-0.011660316474264265
2015-07-26 00:45:00,1.23407,16.114,-0.012227795538045106
2015-07-26 01:00:00,1.22755,16.085,-0.011818161928844887
2015-07-26 01:15:00,1.22934,16.055,-0.012061785577128363
2015-07-26 01:30:00,1.23957,16.029,-0.01295155615239657
2015-07-26 01:45:00,1.2274,15.998,-0.012107029942986255
2015-07-26 02:00:00,1.22499,15.967,-0.01202568889047454
2015-07-26 02:15:00,1.23323,15.935,-0.012780581864620973
2015-07-26 02:30:00,1.23732,15.904,-0.013207509615371647
2015-07-26 02:45:00,1.23983,15.872,-0.013514344090642155
2015-07-26 03:00:00,1.24197,15.839,-0.01379570148303979
2015-07-26 03:15:00,1.23358,15.808,-0.013246753131526665
2015-07-26 03:30:00,1.23358,15.774,-0.013364227936163058
2015-07-26 03:45:00,1.23449,15.743,-0.013542494949317687
2015-07-26 04:00:00,1.23423,15.711,-0.013632728719197901
2015-07-26 04:15:00,1.23426,15.678,-0.01374909423853651
2015-07-26 04:30:00,1.23095,15.644,-0.013607742929511597
2015-07-26 04:45:00,1.23419,15.612,-0.01397165990114848
2015-07-26 05:00:00,1.22629,15.581,-0.013461027197881323
2015-07-26 05:15:00,1.22614,15.55,-0.01355640729850391
2015-07-26 05:30:00,1.22477,15.521,-0.0135494789718885
2015-07-26 05:45:00,1.2174,15.495,-0.013063014018323174
2015-07-26 06:00:00,1.21561,15.471,-0.013005968000932799
